TRPC3, 2899, -6.940975
PCDH11X, 5343, -6.558926
HIST1H1C, 1194, -6.339558
CMKLR1, 535, -6.272018
LAMA4, 1514, -6.035651
NPNT, 9421, -6.022093
IL7R, 1365, -5.828528
PPARD, 2116, -5.631608
PCDH11Y, 7701, -5.606335
PLCD4, 8003, -5.439985
SERTAD1, 5478, -5.374208
ABTB2, 5055, -5.357494
TBL1X, 2766, -5.325128
PLAGL1, 2056, -5.275770
CRABP1, 583, -5.275451
PTPMT1, 8468, -5.267494
SYT6, 8946, -5.209192
WWOX, 5837, -5.192950
LUZP2, 9610, -5.152519
PHACTR2, 3799, -5.146942
HLA-E, 1242, -5.141403
ZNF33A, 3031, -5.136332
BTN2A2, 4120, -5.130773
HLA-DPB1, 1236, -5.090310
B2M, 244, -5.072500
CLEC2B, 3913, -5.051872
PDPN, 4257, -5.046398
BRINP3, 9622, -4.998306
CHRNA3, 500, -4.986087
TC2N, 8606, -4.975509
PENK, 1994, -4.957675
PAWR, 1938, -4.947708
MEIS2, 1647, -4.939384
HCG4, 5913, -4.930308
HLA-H, 1245, -4.894358
ZNF33B, 3032, -4.885036
CFLAR, 3381, -4.858360
RASSF4, 7783, -4.852026
CNTLN, 6042, -4.839540
GINM1, 8515, -4.828721
PLA1A, 5718, -4.804672
RPL13P5, 9484, -4.789670
PLEKHH2, 8730, -4.753182
NR2F1, 2801, -4.726175
LIN7A, 3373, -4.726027
CHRM2, 495, -4.724715
IGFBP2, 1350, -4.723033
MCL1, 1627, -4.706023
VAV3, 4158, -4.704973
RPS17, 2466, -4.692882
ST3GAL6, 4127, -4.673542
CDH20, 5366, -4.672472
ITM2A, 3637, -4.671828
HNRNPA3, 9329, -4.662659
IFITM1, 3242, -4.659582
TRIM13, 4034, -4.648306
PECAM1, 1992, -4.638008
HRC, 1283, -4.637937
SPAG16, 7304, -4.637094
ST8SIA4, 3102, -4.635695
PRR16, 5705, -4.627810
GFRA1, 1043, -4.606978
IFI27, 1338, -4.606601
GRAMD2B, 7188, -4.598838
TINCR, 9443, -4.594509
RPS29, 2477, -4.593686
RPS25, 2473, -4.582378
SRGN, 2157, -4.579383
HLA-C, 1231, -4.568988
ECSCR, 9931, -4.563883
DCN, 673, -4.543111
P2RX4, 1915, -4.542534
TMEM145, 9520, -4.539243
HLA-F, 1243, -4.536298
SMIM19, 8467, -4.535349
BHLHE22, 5341, -4.528899
MGST2, 1668, -4.527939
HMGN3, 3578, -4.503068
BTG3, 4390, -4.489703
RAB12, 9252, -4.482291
RPS21, 2470, -4.470753
GSAP, 5889, -4.465486
CNTRL, 4439, -4.456874
ZFAND4, 8343, -4.438936
ANXA1, 129, -4.437590
LCA5, 9157, -4.437450
CLDN5, 2859, -4.436534
PDE3A, 1965, -4.425751
GLT8D1, 6455, -4.412537
NDUFB9, 1788, -4.405820
SOX4, 2659, -4.396606
CPNE4, 8750, -4.389242
CCL2, 2523, -4.387400
TCEAL8, 8206, -4.375393
FGF18, 3369, -4.368073
HERPUD1, 3777, -4.328456
MARCO, 3319, -4.325893
HS3ST1, 3907, -4.325507
RPS6, 2454, -4.325418
ZNF684, 8682, -4.318862
LYSMD4, 8897, -4.318081
RBMS2, 2358, -4.299396
TFDP1, 2803, -4.298655
POU3F2, 2110, -4.292537
TAP1, 2755, -4.290061
CMC4, 10015, -4.289669
C1orf162, 8701, -4.278529
RPL39, 2445, -4.276543
TMSB15B, 9598, -4.270589
LOC284454, 9530, -4.269570
VEGFC, 2976, -4.268384
RPS6KA2, 2456, -4.252301
